"fecha","anio","mes","latitud","longitud","profundidad","magnitud","categoria_magnitud","categoria_profundidad","sismo_mayor_5","sismo_mayor_6","region_asignada","metodo_asignacion_region","macrozona","region_id"
2020-11-02,2020,11,-29.7,-71.19,62,3.1,"Menor a 4","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2022-06-03,2022,6,-19.17,-69.31,107,4.2,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2021-08-13,2021,8,-19.86,-69.9,62,4,"4.0 a 4.9","Intermedio",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2021-09-24,2021,9,-19.33,-70.07,56,3.8,"Menor a 4","Intermedio",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2021-12-16,2021,12,-20.77,-69.18,108,4.2,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2020-11-03,2020,11,-32.02,-71.65,35,3.8,"Menor a 4","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2020-10-16,2020,10,-30.36,-71.23,25,3.5,"Menor a 4","Superficial",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2022-03-16,2022,3,-20.14,-69.19,97,4.2,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2022-05-04,2022,5,-32.23,-71.9,32,4.9,"4.0 a 4.9","Intermedio",0,0,"Valparaíso","Región más cercana","Centro","region_16"
2022-06-02,2022,6,-21.82,-69.92,58,4.7,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2022-04-19,2022,4,-20.07,-69.36,112,3.7,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2021-09-03,2021,9,-19.51,-69.37,96,3.6,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2020-03-04,2020,3,-20.33,-69.15,114,3.9,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-01-21,2019,1,-30.15,-71.22,61,3.9,"Menor a 4","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2020-12-16,2020,12,-30.74,-71.42,52,4.6,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2021-12-14,2021,12,-29.65,-71.17,56,3.5,"Menor a 4","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2021-11-18,2021,11,-29.57,-71.25,55,3.9,"Menor a 4","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2021-12-22,2021,12,-30.08,-71.57,33,3.7,"Menor a 4","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2020-07-07,2020,7,-19.08,-69.5,120,4.3,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2021-12-07,2021,12,-18.57,-71.02,31,5.1,"5.0 a 5.9","Intermedio",1,0,"Arica y Parinacota","Región más cercana","Norte","region_3"
2020-07-31,2020,7,-30.31,-71.58,39,4,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2021-09-04,2021,9,-29.86,-71.18,63,3.8,"Menor a 4","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2021-11-28,2021,11,-32.13,-71.62,35,3.9,"Menor a 4","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2019-03-17,2019,3,-29.96,-71.94,34,4,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2022-04-27,2022,4,-19.87,-69.14,101,4.5,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-12-27,2019,12,-19.13,-69.48,97,4,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2018-09-26,2018,9,-30.11,-71.25,45,3.6,"Menor a 4","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2021-04-21,2021,4,-19.79,-69.06,106,3.9,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2022-04-01,2022,4,-29.53,-71.25,54,3.4,"Menor a 4","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2020-06-13,2020,6,-20.52,-69.1,96,3.7,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-11-02,2019,11,-21.11,-68.89,108,4.3,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2022-04-11,2022,4,-19.16,-70.06,59,4.4,"4.0 a 4.9","Intermedio",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2022-01-26,2022,1,-18.86,-70.13,80,4.2,"4.0 a 4.9","Profundo",0,0,"Arica y Parinacota","Dentro del polígono regional","Norte","region_3"
2021-11-09,2021,11,-19.64,-69.42,106,3.8,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-11-09,2019,11,-19.31,-69.39,95,3.8,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2020-11-01,2020,11,-18.61,-69.81,79,4.4,"4.0 a 4.9","Profundo",0,0,"Arica y Parinacota","Dentro del polígono regional","Norte","region_3"
2019-06-08,2019,6,-19.55,-69.39,112,3.5,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2018-08-17,2018,8,-30.14,-71.59,37,3.7,"Menor a 4","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2023-01-01,2023,1,-22.99,-68.96,106,5.2,"5.0 a 5.9","Profundo",1,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2023-01-04,2023,1,-19.18,-69.08,126,5.1,"5.0 a 5.9","Profundo",1,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2023-01-12,2023,1,-30.64,-71.31,54,5.8,"5.0 a 5.9","Intermedio",1,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2019-09-14,2019,9,-36.41,-72.92,29,3.9,"Menor a 4","Superficial",0,0,"Ñuble","Región más cercana","Sur","region_13"
2020-08-24,2020,8,-36.66,-73.08,21,3.6,"Menor a 4","Superficial",0,0,"Biobío","Región más cercana","Sur","region_6"
2021-02-20,2021,2,-37.47,-72.28,94,4.6,"4.0 a 4.9","Profundo",0,0,"Biobío","Dentro del polígono regional","Sur","region_6"
2022-01-24,2022,1,-36.76,-71.73,21,3.8,"Menor a 4","Superficial",0,0,"Ñuble","Dentro del polígono regional","Sur","region_13"
2022-07-16,2022,7,-37.5,-72.15,76,4.5,"4.0 a 4.9","Profundo",0,0,"Biobío","Dentro del polígono regional","Sur","region_6"
2022-05-17,2022,5,-36.86,-71.38,17,4,"4.0 a 4.9","Superficial",0,0,"Ñuble","Dentro del polígono regional","Sur","region_13"
2021-02-09,2021,2,-37.47,-72.28,68,3.7,"Menor a 4","Intermedio",0,0,"Biobío","Dentro del polígono regional","Sur","region_6"
2022-11-13,2022,11,-37.55,-73.69,27,5,"5.0 a 5.9","Superficial",1,0,"Biobío","Región más cercana","Sur","region_6"
2021-11-09,2021,11,-38.45,-72.41,55,4.1,"4.0 a 4.9","Intermedio",0,0,"Araucanía","Dentro del polígono regional","Sur","region_2"
2022-03-22,2022,3,-36.86,-72.81,35,3.1,"Menor a 4","Intermedio",0,0,"Biobío","Dentro del polígono regional","Sur","region_6"
2023-02-05,2023,2,-29.69,-71.25,78,5.5,"5.0 a 5.9","Profundo",1,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2021-06-15,2021,6,-34,-72.11,27,4.6,"4.0 a 4.9","Superficial",0,0,"O'Higgins","Región más cercana","Centro","region_8"
2022-03-27,2022,3,-33.55,-72.19,16,4.3,"4.0 a 4.9","Superficial",0,0,"Valparaíso","Región más cercana","Centro","region_16"
2025-04-08,2025,4,-21.05,-68.56,126,5.2,"5.0 a 5.9","Profundo",1,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2025-04-18,2025,4,-23.47,-68.22,139,6,"6.0 o más","Profundo",1,1,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2025-04-24,2025,4,-30.76,-71.9,31,5.4,"5.0 a 5.9","Intermedio",1,0,"Coquimbo","Región más cercana","Norte","region_7"
